,Date,Players,Game,Scores,Winner,Version,MA_score,MA_winner,MA_played,C_score,C_winner,C_played,M_score,M_winner,M_played,WO_score,WO_winner,WO_played,DA_score,DA_winner,DA_played,PA_score,PA_winner,PA_played,G_score,G_winner,G_played,I_score,I_winner,I_played,E_score,E_winner,E_played,IR_score,IR_winner,IR_played,EV_score,EV_winner,EV_played,has_score,has_winner,Nr_players
62,2019-01-02,I+M,Claim,I3+M2,I,Normal,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,2
63,2019-01-02,I+M,What's up,I12+M9,I,Normal,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,1,1,2
64,2019-01-05,I+M,Unlock,4,I+M,De Formule,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
65,2019-01-05,I+M,Claim 2,I1+M4,M,Normal,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2
66,2019-01-05,I+M,Claim 2,I1+M4,M,Normal,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2
67,2019-01-11,I+M,Kingdomino ,I42+M34,I,5x5,0,0,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,1,1,0,0,0,0,0,0,0,0,0,1,1,2
68,2019-01-11,I+M,Sushi Go!,I43+M35,I,Normal,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,1,1,0,0,0,0,0,0,0,0,0,1,1,2
69,2019-01-12,I+M,Unlock,2,I+M,Muis en de Worst,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
70,2019-01-13,I+M,Jaipur,I84+M80,I,Normal,0,0,0,0,0,0,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,84,1,1,0,0,0,0,0,0,0,0,0,1,1,2
71,2019-01-13,I+M,Jaipur,I76+M66,I,Normal,0,0,0,0,0,0,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,1,1,0,0,0,0,0,0,0,0,0,1,1,2
72,2019-01-13,I+M,Qwixx,I116+M53,I,Normal,0,0,0,0,0,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116,1,1,0,0,0,0,0,0,0,0,0,1,1,2
73,2019-01-18,I+M,Claim 2,I4+M1,I,Normal,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,1,2
74,2019-01-18,I+M,Claim,I2+M3,M,Normal,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,2
75,2019-01-19,I+M,Port Royal,I12+M10,I,Normal,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,1,1,2
76,2019-01-19,I+M,Qwixx,I56+M77,M,Colors,0,0,0,0,0,0,77,1,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0,1,0,0,0,0,0,0,0,0,0,1,1,2
77,2019-01-19,I+M,Qwixx,I90+M27,I,Normal,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,1,1,0,0,0,0,0,0,0,0,0,1,1,2
78,2019-01-19,I+M,Qwixx,I68+M72,M,Random,0,0,0,0,0,0,72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,68,0,1,0,0,0,0,0,0,0,0,0,1,1,2
79,2019-01-26,I+M,Qwixx,I80+M68,I,Normal,0,0,0,0,0,0,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80,1,1,0,0,0,0,0,0,0,0,0,1,1,2
